"%s items queued for embedding.","%s items queued for embedding."
"Action","Action"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"already queued","already queued"
"Back","Back"
"Background","Background"
"Cancelled","Cancelled"
"Categories (%s active)","Categories (%s active)"
"Complete","Complete"
"Completed","Completed"
"Completion","Completion"
"Consumer","Consumer"
"Context","Context"
"Cost (USD)","Cost (USD)"
"Current Configuration","Current Configuration"
"Dashboard","Dashboard"
"Disabled","Disabled"
"Embed Status","Embed Status"
"Embedding","Embedding"
"Embeddings are disabled. Enable them under System &gt; Maho AI &gt; Embed Settings before queuing.","Embeddings are disabled. Enable them under System &gt; Maho AI &gt; Embed Settings before queuing."
"Enabled","Enabled"
"Error","Error"
"Estimated completion: ~%d hours %d minutes.","Estimated completion: ~%d hours %d minutes."
"Estimated completion: ~%d minutes.","Estimated completion: ~%d minutes."
"Estimated Cost","Estimated Cost"
"Failed","Failed"
"ID","ID"
"Image","Image"
"In Tokens","In Tokens"
"Input Tokens","Input Tokens"
"Interactive","Interactive"
"Maho AI","Maho AI"
"Maho AI Configuration","Maho AI Configuration"
"Messages","Messages"
"Minimal (consumer + tokens)","Minimal (consumer + tokens)"
"Model","Model"
"No items were queued. Make sure products/categories have text content.","No items were queued. Make sure products/categories have text content."
"Note:","Note:"
"Out Tokens","Out Tokens"
"Output Tokens","Output Tokens"
"Pending","Pending"
"Pending Embed Tasks","Pending Embed Tasks"
"Platform","Platform"
"Platform / Model","Platform / Model"
"Priority","Priority"
"Processing","Processing"
"Products (%s enabled)","Products (%s enabled)"
"Queue","Queue"
"Queue All Embeddings","Queue All Embeddings"
"Queue for Embedding","Queue for Embedding"
"Queue Status","Queue Status"
"Queued","Queued"
"Response","Response"
"Retries","Retries"
"Standard (+ model + cost)","Standard (+ model + cost)"
"Status","Status"
"Store ID","Store ID"
"Task #%s","Task #%s"
"Task Details","Task Details"
"Task History","Task History"
"Task not found.","Task not found."
"The async queue is disabled. Enable it under System &gt; Maho AI &gt; Queue Settings or tasks will never be processed.","The async queue is disabled. Enable it under System &gt; Maho AI &gt; Queue Settings or tasks will never be processed."
"This queues %s products and %s categories (%s tasks total) for background processing.","This queues %s products and %s categories (%s tasks total) for background processing."
"This will queue all selected items for embedding. Continue?","This will queue all selected items for embedding. Continue?"
"Type","Type"
"Update Models","Update Models"
"Vector with %d dimensions","Vector with %d dimensions"
"Verbose (+ prompt preview)","Verbose (+ prompt preview)"
"View","View"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks."
